,noc_code,position,low_wage,median_wage,high_wage,position_detail_link
53,(14112),Desktop publishing operators and related occupations     ,17.4,22.98,35.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/19254/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
54,(14200),Accounting and related clerks     ,18.99,25.0,33.65,https://www.jobbank.gc.ca/marketreport/wages-occupation/14122/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
55,(14201),"Banking, insurance and other financial clerks     ",19.23,24.5,34.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/2290/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
56,(14202),Collection clerks     ,18.46,28.72,32.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/19287/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
57,(14300),Library assistants and clerks     ,17.4,24.0,31.4,https://www.jobbank.gc.ca/marketreport/wages-occupation/24868/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
58,(14301),"Correspondence, publication and regulatory clerks     ",20.0,28.59,44.18,https://www.jobbank.gc.ca/marketreport/wages-occupation/2336/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
59,(14400),Shippers and receivers     ,17.4,22.0,30.13,https://www.jobbank.gc.ca/marketreport/wages-occupation/15242/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
60,(14401),Storekeepers and partspersons     ,19.0,26.5,38.6,https://www.jobbank.gc.ca/marketreport/wages-occupation/19341/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
61,(14402),Production logistics workers     ,17.4,27.99,46.65,https://www.jobbank.gc.ca/marketreport/wages-occupation/2458/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
62,(14403),Purchasing and inventory control workers     ,18.5,25.0,37.5,https://www.jobbank.gc.ca/marketreport/wages-occupation/15270/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
63,(14404),Dispatchers     ,19.23,30.25,40.0,https://www.jobbank.gc.ca/marketreport/wages-occupation/19374/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
64,(14405),Transportation route and crew schedulers     ,19.32,29.73,47.81,https://www.jobbank.gc.ca/marketreport/wages-occupation/15291/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
65,(20010),Engineering managers     ,38.46,67.31,115.38,https://www.jobbank.gc.ca/marketreport/wages-occupation/1366/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
66,(20011),Architecture and science managers     ,37.36,50.96,100.96,https://www.jobbank.gc.ca/marketreport/wages-occupation/1403/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
67,(20012),Computer and information systems managers     ,36.06,59.62,96.63,https://www.jobbank.gc.ca/marketreport/wages-occupation/1433/BC;jsessionid=FC772C88E37DA812EDE799C627688190.jobsearch75
